step,type,loss,cumulative_time_ms,step_avg_ms
965,train,,674826,699.30
966,train,,675473,699.25
967,train,,676175,699.25
968,train,,676845,699.22
969,train,,677499,699.17
970,train,,678226,699.20
971,train,,678855,699.13
972,train,,679588,699.16
973,train,,680336,699.21
974,train,,681030,699.21
975,train,,681837,699.32
976,train,,682462,699.24
977,train,,683111,699.19
978,train,,683768,699.15
979,train,,684512,699.20
980,train,,685190,699.17
981,train,,685868,699.15
982,train,,686511,699.09
983,train,,687284,699.17
984,train,,688023,699.21
985,train,,688696,699.18
986,train,,689388,699.18
987,train,,690112,699.20
988,train,,690802,699.19
989,train,,691482,699.17
990,train,,692236,699.23
991,train,,692892,699.18
992,train,,693699,699.29
993,train,,694465,699.36
994,train,,695197,699.39
995,train,,695878,699.37
996,train,,696604,699.40
997,train,,697257,699.36
998,train,,697938,699.34
999,train,,698579,699.28
1000,train,,699351,699.35
1000,val,4.0478,699352,699.35
1001,train,,700060,699.36
1002,train,,700740,699.34
1003,train,,701507,699.41
1004,train,,702179,699.38
1005,train,,702874,699.38
1006,train,,703566,699.37
1007,train,,704341,699.44
1008,train,,705111,699.51
1009,train,,705788,699.49
1010,train,,706512,699.52
1011,train,,707242,699.55
1012,train,,707868,699.47
1013,train,,708540,699.45
1014,train,,709175,699.38
1015,train,,709945,699.45
1016,train,,710664,699.47
1017,train,,711337,699.45
1018,train,,712035,699.44
1019,train,,712865,699.57
1020,train,,713525,699.53
1021,train,,714175,699.49
1022,train,,714908,699.52
1023,train,,715535,699.45
1024,train,,716173,699.39
1025,train,,716988,699.50
1026,train,,717845,699.65
1027,train,,718535,699.64
1028,train,,719248,699.66
1029,train,,719939,699.65
1030,train,,720594,699.61
1031,train,,721221,699.54
1032,train,,721860,699.48
1033,train,,722541,699.46
1034,train,,723246,699.46
1035,train,,723918,699.44
1036,train,,724542,699.36
1037,train,,725277,699.40
1038,train,,725930,699.35
1039,train,,726586,699.31
1040,train,,727334,699.36
1041,train,,727984,699.31
1042,train,,728727,699.35
1043,train,,729528,699.45
1044,train,,730246,699.47
1045,train,,730858,699.39
1046,train,,731600,699.43
1047,train,,732307,699.43
1048,train,,733146,699.57
1049,train,,734002,699.72
1050,train,,734704,699.72
1051,train,,735454,699.77
1052,train,,736167,699.78
1053,train,,737015,699.92
1054,train,,737651,699.86
